payroll_id,employee_id,pay_period,pay_date,basic_salary_sar,housing_allowance_sar,transport_allowance_sar,other_allowances_sar,overtime_hours,overtime_pay_sar,gross_pay_sar,gosi_employee_sar,gosi_employer_sar,absence_deduction_sar,loan_deduction_sar,other_deductions_sar,total_deductions_sar,net_pay_sar,payment_method,currency
PAY-000849,EMP-0032,2025-03,27-03-2025,12650,3163,1200,0,0,0,17013,0,316.26,0,0,0,0,17013,Bank Transfer,SAR
PAY-000850,EMP-0034,2025-03,27-03-2025,11650,2913,1165,0,26,1893.13,17621.13,0,291.26,0,0,0,0,17621.13,Bank Transfer,SAR
PAY-000851,EMP-0035,2025-03,27-03-2025,7300,1825,730,2000,0,0,11855,0,182.5,0,0,0,0,11855,Bank Transfer,SAR
PAY-000852,EMP-0036,2025-03,27-03-2025,6950,1738,695,0,0,0,9383,847.08,1020.84,312.77,0,300,1459.85,7923.15,Bank Transfer,SAR
PAY-000853,EMP-0037,2025-03,27-03-2025,3550,888,355,0,11,244.06,5037.06,0,88.76,0,0,0,0,5037.06,Bank Transfer,SAR
PAY-000854,EMP-0038,2025-03,27-03-2025,4400,1100,440,0,0,0,5940,0,110,0,550,0,550,5390,Bank Transfer,SAR
PAY-000855,EMP-0039,2025-03,27-03-2025,7100,1775,710,0,0,0,9585,865.31,1042.81,0,0,0,865.31,8719.69,Bank Transfer,SAR
PAY-000856,EMP-0040,2025-03,27-03-2025,30000,7500,1200,0,0,0,38700,0,750,0,0,0,0,38700,Bank Transfer,SAR
PAY-000857,EMP-0041,2025-03,27-03-2025,9050,2263,905,0,0,0,12218,1103.02,1329.28,0,850,170,2123.02,10094.98,Bank Transfer,SAR
PAY-000858,EMP-0042,2025-03,27-03-2025,4550,1138,455,2100,0,0,8243,0,113.76,0,0,0,0,8243,Bank Transfer,SAR
PAY-000859,EMP-0043,2025-03,27-03-2025,4450,1113,445,0,6.5,180.78,6188.78,0,111.26,0,0,0,0,6188.78,Bank Transfer,SAR
PAY-000860,EMP-0044,2025-03,27-03-2025,7600,1900,760,1250,23,1092.5,12602.5,0,190,0,0,0,0,12602.5,Bank Transfer,SAR
PAY-000861,EMP-0045,2025-03,27-03-2025,6100,1525,610,2200,23,876.88,11311.88,0,152.5,0,0,0,0,11311.88,Bank Transfer,SAR
PAY-000862,EMP-0046,2025-03,27-03-2025,3450,863,345,0,0,0,4658,0,86.26,0,0,0,0,4658,Bank Transfer,SAR
PAY-000863,EMP-0047,2025-03,27-03-2025,8350,2088,835,0,0,0,11273,1017.71,1226.46,0,0,0,1017.71,10255.29,Bank Transfer,SAR
PAY-000864,EMP-0048,2025-03,27-03-2025,21750,5438,1200,0,0,0,28388,2650.83,3194.59,0,0,0,2650.83,25737.17,Cheque,SAR
PAY-000865,EMP-0049,2025-03,27-03-2025,4100,1025,410,0,0,0,5535,499.69,602.19,0,0,0,499.69,5035.31,Bank Transfer,SAR
PAY-000866,EMP-0050,2025-03,27-03-2025,3250,813,325,800,0,0,5188,0,81.26,146.27,0,0,146.27,5041.73,Bank Transfer,SAR
PAY-000867,EMP-0051,2025-03,27-03-2025,7700,1925,770,1700,20.5,986.56,13081.56,0,192.5,0,0,0,0,13081.56,Bank Transfer,SAR
PAY-000868,EMP-0052,2025-03,27-03-2025,4700,1175,470,1650,0,0,7995,572.81,690.31,0,0,0,572.81,7422.19,Bank Transfer,SAR
PAY-000869,EMP-0053,2025-03,27-03-2025,4100,1025,410,0,0,0,5535,499.69,602.19,0,800,0,1299.69,4235.31,Bank Transfer,SAR
PAY-000870,EMP-0055,2025-03,27-03-2025,4250,1063,425,1850,17,451.56,8039.56,0,106.26,0,0,440,440,7599.56,Bank Transfer,SAR
PAY-000871,EMP-0056,2025-03,27-03-2025,4650,1163,465,0,22,639.38,6917.38,566.77,683.03,0,0,0,566.77,6350.61,Bank Transfer,SAR
PAY-000872,EMP-0057,2025-03,27-03-2025,4550,1138,455,0,13,369.69,6512.69,554.58,668.34,0,0,0,554.58,5958.11,Bank Transfer,SAR
PAY-000873,EMP-0058,2025-03,27-03-2025,3850,963,385,0,0,0,5198,0,96.26,0,0,0,0,5198,Bank Transfer,SAR
PAY-000874,EMP-0059,2025-03,27-03-2025,9300,2325,930,550,15.5,900.94,14005.94,0,232.5,0,2250,0,2250,11755.94,Bank Transfer,SAR
PAY-000875,EMP-0060,2025-03,27-03-2025,4500,1125,450,0,16.5,464.06,6539.06,548.44,660.94,0,0,0,548.44,5990.62,Bank Transfer,SAR
PAY-000876,EMP-0061,2025-03,27-03-2025,4000,1000,400,0,3.5,87.5,5487.5,487.5,587.5,0,0,0,487.5,5000,Bank Transfer,SAR
PAY-000877,EMP-0062,2025-03,27-03-2025,4050,1013,405,0,0,0,5468,0,101.26,0,0,0,0,5468,WPS Transfer,SAR
PAY-000878,EMP-0064,2025-03,27-03-2025,4600,1150,460,0,0,0,6210,0,115,0,0,0,0,6210,Bank Transfer,SAR
PAY-000879,EMP-0065,2025-03,27-03-2025,28650,7163,1200,0,0,0,37013,0,716.26,0,0,0,0,37013,Bank Transfer,SAR
PAY-000880,EMP-0066,2025-03,27-03-2025,3950,988,395,0,0,0,5333,0,98.76,0,0,0,0,5333,Bank Transfer,SAR
PAY-000881,EMP-0067,2025-03,27-03-2025,3450,863,345,0,0,0,4658,420.52,506.78,0,0,0,420.52,4237.48,Bank Transfer,SAR
PAY-000882,EMP-0068,2025-03,27-03-2025,3750,938,375,0,0,0,5063,0,93.76,337.53,2500,0,2837.53,2225.47,Bank Transfer,SAR
PAY-000883,EMP-0069,2025-03,27-03-2025,25850,6463,1200,0,0,0,33513,0,646.26,0,0,0,0,33513,Bank Transfer,SAR
PAY-000884,EMP-0070,2025-03,27-03-2025,3700,925,370,0,0,0,4995,0,92.5,0,0,0,0,4995,Bank Transfer,SAR
PAY-000885,EMP-0071,2025-03,27-03-2025,7100,1775,710,0,0,0,9585,0,177.5,639,0,0,639,8946,Bank Transfer,SAR
PAY-000886,EMP-0072,2025-03,27-03-2025,4450,1113,445,0,0,0,6008,0,111.26,0,950,0,950,5058,Bank Transfer,SAR
PAY-000887,EMP-0073,2025-03,27-03-2025,27600,6900,1200,650,0,0,36350,3363.75,4053.75,0,0,0,3363.75,32986.25,Bank Transfer,SAR
PAY-000888,EMP-0074,2025-03,27-03-2025,3300,825,330,1250,0,0,5705,402.19,484.69,0,0,0,402.19,5302.81,Bank Transfer,SAR
PAY-000889,EMP-0079,2025-03,27-03-2025,6450,1613,645,0,24,967.5,9675.5,786.14,947.4,0,0,0,786.14,8889.36,Bank Transfer,SAR
PAY-000890,EMP-0080,2025-03,27-03-2025,3200,800,320,0,18,360,4680,0,80,0,350,0,350,4330,Bank Transfer,SAR
PAY-000891,EMP-0082,2025-03,27-03-2025,4000,1000,400,1300,0,0,6700,0,100,0,0,0,0,6700,Bank Transfer,SAR
PAY-000892,EMP-0083,2025-03,27-03-2025,10200,2550,1020,450,19.5,1243.13,15463.13,0,255,459,0,510,969,14494.13,Bank Transfer,SAR
PAY-000893,EMP-0084,2025-03,27-03-2025,12750,3188,1200,0,0,0,17138,0,318.76,1142.53,0,0,1142.53,15995.47,Bank Transfer,SAR
PAY-000894,EMP-0085,2025-03,27-03-2025,6100,1525,610,0,21,800.63,9035.63,0,152.5,0,0,0,0,9035.63,Bank Transfer,SAR
PAY-000895,EMP-0086,2025-03,27-03-2025,3550,888,355,0,0,0,4793,0,88.76,0,0,0,0,4793,Bank Transfer,SAR
PAY-000896,EMP-0087,2025-03,27-03-2025,25550,6388,1200,0,0,0,33138,3113.96,3752.71,0,0,0,3113.96,30024.04,Bank Transfer,SAR
PAY-000897,EMP-0088,2025-03,27-03-2025,23950,5988,1200,0,0,0,31138,2918.96,3517.71,0,0,0,2918.96,28219.04,Bank Transfer,SAR
PAY-000898,EMP-0089,2025-03,27-03-2025,20900,5225,1200,0,0,0,27325,0,522.5,2732.5,0,0,2732.5,24592.5,Bank Transfer,SAR
PAY-000899,EMP-0092,2025-03,27-03-2025,4550,1138,455,0,0,0,6143,554.58,668.34,0,0,0,554.58,5588.42,Bank Transfer,SAR
PAY-000900,EMP-0093,2025-03,27-03-2025,4900,1225,490,0,22,673.75,7288.75,0,122.5,220.5,2350,0,2570.5,4718.25,WPS Transfer,SAR
PAY-000901,EMP-0095,2025-03,27-03-2025,18600,4650,1200,2000,18,2092.5,28542.5,0,465,0,0,0,0,28542.5,Bank Transfer,SAR
PAY-000902,EMP-0097,2025-03,27-03-2025,5050,1263,505,1400,15.5,489.22,8707.22,0,126.26,0,0,0,0,8707.22,Bank Transfer,SAR
PAY-000903,EMP-0098,2025-03,27-03-2025,6350,1588,635,0,12,476.25,9049.25,0,158.76,0,0,0,0,9049.25,Bank Transfer,SAR
PAY-000904,EMP-0099,2025-03,27-03-2025,11850,2963,1185,1150,0,0,17148,1444.27,1740.53,0,0,0,1444.27,15703.73,Bank Transfer,SAR
PAY-000905,EMP-0100,2025-03,27-03-2025,12900,3225,1200,0,8.5,685.31,18010.31,0,322.5,577.5,0,0,577.5,17432.81,Bank Transfer,SAR
PAY-000906,EMP-0102,2025-03,27-03-2025,4650,1163,465,1300,0,0,7578,566.77,683.03,0,0,0,566.77,7011.23,Bank Transfer,SAR
PAY-000907,EMP-0103,2025-03,27-03-2025,5350,1338,535,600,0,0,7823,0,133.76,0,0,0,0,7823,Bank Transfer,SAR
PAY-000908,EMP-0104,2025-03,27-03-2025,6350,1588,635,0,0,0,8573,773.96,932.71,0,2000,0,2773.96,5799.04,Bank Transfer,SAR
PAY-000909,EMP-0105,2025-03,27-03-2025,21650,5413,1200,0,21,2841.56,31104.56,2638.64,3179.9,0,0,0,2638.64,28465.92,Bank Transfer,SAR
PAY-000910,EMP-0106,2025-03,27-03-2025,24950,6238,1200,850,0,0,33238,3040.83,3664.59,0,1650,0,4690.83,28547.17,Bank Transfer,SAR
PAY-000911,EMP-0107,2025-03,27-03-2025,26350,6588,1200,2100,0,0,36238,3211.46,3870.21,0,0,0,3211.46,33026.54,Bank Transfer,SAR
PAY-000912,EMP-0108,2025-03,27-03-2025,6050,1513,605,0,0,0,8168,0,151.26,0,0,0,0,8168,Bank Transfer,SAR
PAY-000913,EMP-0112,2025-03,27-03-2025,17550,4388,1200,350,0,0,23488,0,438.76,0,0,0,0,23488,Bank Transfer,SAR
PAY-000914,EMP-0113,2025-03,27-03-2025,12550,3138,1200,2500,14,1098.13,20486.13,1529.58,1843.34,0,0,0,1529.58,18956.55,Bank Transfer,SAR
PAY-000915,EMP-0114,2025-03,27-03-2025,11300,2825,1130,0,0,0,15255,0,282.5,0,0,0,0,15255,WPS Transfer,SAR
PAY-000916,EMP-0116,2025-03,27-03-2025,4550,1138,455,200,0,0,6343,0,113.76,0,0,0,0,6343,Bank Transfer,SAR
PAY-000917,EMP-0117,2025-03,27-03-2025,22450,5613,1200,0,0,0,29263,2736.14,3297.4,0,0,0,2736.14,26526.86,Bank Transfer,SAR
PAY-000918,EMP-0118,2025-03,27-03-2025,18200,4550,1200,0,10.5,1194.38,25144.38,2218.13,2673.13,0,0,0,2218.13,22926.25,Bank Transfer,SAR
PAY-000919,EMP-0119,2025-03,27-03-2025,5300,1325,530,0,6.5,215.31,7370.31,0,132.5,0,0,0,0,7370.31,WPS Transfer,SAR
PAY-000920,EMP-0120,2025-03,27-03-2025,12250,3063,1200,0,0,0,16513,1493.02,1799.28,0,0,0,1493.02,15019.98,Bank Transfer,SAR
PAY-000921,EMP-0121,2025-03,27-03-2025,4700,1175,470,0,14,411.25,6756.25,0,117.5,0,0,0,0,6756.25,Bank Transfer,SAR
PAY-000922,EMP-0122,2025-03,27-03-2025,5250,1313,525,1650,0,0,8738,0,131.26,0,2400,0,2400,6338,Bank Transfer,SAR
PAY-000923,EMP-0123,2025-03,27-03-2025,5450,1363,545,0,0,0,7358,664.27,800.53,0,0,0,664.27,6693.73,WPS Transfer,SAR
PAY-000924,EMP-0124,2025-03,27-03-2025,28200,7050,1200,2050,0,0,38500,3436.88,4141.88,0,0,0,3436.88,35063.12,Bank Transfer,SAR
PAY-000925,EMP-0126,2025-03,27-03-2025,6100,1525,610,0,23,876.88,9111.88,0,152.5,0,0,0,0,9111.88,Bank Transfer,SAR
PAY-000926,EMP-0127,2025-03,27-03-2025,9350,2338,935,0,0,0,12623,0,233.76,0,0,0,0,12623,Bank Transfer,SAR
PAY-000927,EMP-0129,2025-03,27-03-2025,4850,1213,485,2450,25,757.81,9755.81,591.14,712.4,0,0,0,591.14,9164.67,Bank Transfer,SAR
PAY-000928,EMP-0130,2025-03,27-03-2025,6350,1588,635,0,0,0,8573,0,158.76,571.53,0,0,571.53,8001.47,Bank Transfer,SAR
PAY-000929,EMP-0131,2025-03,27-03-2025,20750,5188,1200,0,0,0,27138,0,518.76,904.6,0,0,904.6,26233.4,Bank Transfer,SAR
PAY-000930,EMP-0132,2025-03,27-03-2025,5400,1350,540,1200,19.5,658.13,9148.13,658.13,793.13,0,0,0,658.13,8490,Bank Transfer,SAR
PAY-000931,EMP-0133,2025-03,27-03-2025,11850,2963,1185,600,0,0,16598,0,296.26,1066.53,0,0,1066.53,15531.47,Bank Transfer,SAR
PAY-000932,EMP-0134,2025-03,27-03-2025,4750,1188,475,0,21,623.44,7036.44,0,118.76,0,0,0,0,7036.44,Bank Transfer,SAR
PAY-000933,EMP-0135,2025-03,27-03-2025,5700,1425,570,1550,7,249.38,9494.38,0,142.5,0,0,0,0,9494.38,Bank Transfer,SAR
PAY-000934,EMP-0136,2025-03,27-03-2025,4850,1213,485,0,0,0,6548,0,121.26,436.53,0,0,436.53,6111.47,Bank Transfer,SAR
PAY-000935,EMP-0137,2025-03,27-03-2025,20100,5025,1200,0,0,0,26325,0,502.5,0,0,0,0,26325,Bank Transfer,SAR
PAY-000936,EMP-0138,2025-03,27-03-2025,17050,4263,1200,0,16,1705,24218,0,426.26,0,0,0,0,24218,Bank Transfer,SAR
PAY-000937,EMP-0139,2025-03,27-03-2025,9150,2288,915,0,0,0,12353,0,228.76,0,0,0,0,12353,WPS Transfer,SAR
PAY-000938,EMP-0140,2025-03,27-03-2025,10050,2513,1005,0,13.5,847.97,14415.97,0,251.26,0,0,0,0,14415.97,Bank Transfer,SAR
PAY-000939,EMP-0141,2025-03,27-03-2025,6000,1500,600,0,0,0,8100,731.25,881.25,0,1000,450,2181.25,5918.75,Bank Transfer,SAR
PAY-000940,EMP-0142,2025-03,27-03-2025,4900,1225,490,0,0,0,6615,597.19,719.69,0,700,0,1297.19,5317.81,Bank Transfer,SAR
PAY-000941,EMP-0145,2025-03,27-03-2025,5000,1250,500,0,0,0,6750,0,125,0,0,0,0,6750,Bank Transfer,SAR
PAY-000942,EMP-0146,2025-03,27-03-2025,17050,4263,1200,2350,0,0,24863,2078.02,2504.28,0,0,0,2078.02,22784.98,Bank Transfer,SAR
PAY-000943,EMP-0148,2025-03,27-03-2025,20350,5088,1200,250,18,2289.38,29177.38,0,508.76,0,0,0,0,29177.38,WPS Transfer,SAR
PAY-000944,EMP-0149,2025-03,27-03-2025,20200,5050,1200,550,12.5,1578.13,28578.13,2461.88,2966.88,0,0,0,2461.88,26116.25,Bank Transfer,SAR
PAY-000945,EMP-0150,2025-03,27-03-2025,17050,4263,1200,0,4,426.25,22939.25,2078.02,2504.28,0,0,0,2078.02,20861.23,Bank Transfer,SAR
PAY-000946,EMP-0151,2025-03,27-03-2025,16150,4038,1200,0,0,0,21388,1968.33,2372.09,0,0,0,1968.33,19419.67,WPS Transfer,SAR
PAY-000947,EMP-0152,2025-03,27-03-2025,21350,5338,1200,0,5,667.19,28555.19,0,533.76,0,0,0,0,28555.19,Bank Transfer,SAR
PAY-000948,EMP-0153,2025-03,27-03-2025,12500,3125,1200,0,11,859.38,17684.38,1523.44,1835.94,0,0,0,1523.44,16160.94,Bank Transfer,SAR
PAY-000949,EMP-0155,2025-03,27-03-2025,28050,7013,1200,0,0,0,36263,0,701.26,0,0,0,0,36263,Bank Transfer,SAR
PAY-000950,EMP-0157,2025-03,27-03-2025,11300,2825,1130,2400,0,0,17655,0,282.5,1017,0,0,1017,16638,Bank Transfer,SAR
PAY-000951,EMP-0158,2025-03,27-03-2025,4550,1138,455,0,0,0,6143,0,113.76,0,0,0,0,6143,Bank Transfer,SAR
PAY-000952,EMP-0159,2025-03,27-03-2025,4650,1163,465,0,11.5,334.22,6612.22,566.77,683.03,0,0,0,566.77,6045.45,Bank Transfer,SAR
PAY-000953,EMP-0160,2025-03,27-03-2025,6000,1500,600,0,0,0,8100,731.25,881.25,0,0,0,731.25,7368.75,Bank Transfer,SAR
PAY-000954,EMP-0161,2025-03,27-03-2025,25100,6275,1200,0,0,0,32575,3059.06,3686.56,0,0,0,3059.06,29515.94,Bank Transfer,SAR
PAY-000955,EMP-0162,2025-03,27-03-2025,10350,2588,1035,0,14.5,937.97,14910.97,0,258.76,0,1650,0,1650,13260.97,Bank Transfer,SAR
PAY-000956,EMP-0163,2025-03,27-03-2025,3850,963,385,0,0,0,5198,469.27,565.53,0,0,0,469.27,4728.73,Bank Transfer,SAR
PAY-000957,EMP-0164,2025-03,27-03-2025,6250,1563,625,0,0,0,8438,761.77,918.03,0,0,0,761.77,7676.23,Bank Transfer,SAR
PAY-000958,EMP-0165,2025-03,27-03-2025,4500,1125,450,0,2.5,70.31,6145.31,0,112.5,0,0,0,0,6145.31,Bank Transfer,SAR
PAY-000959,EMP-0167,2025-03,27-03-2025,3450,863,345,300,10,215.63,5173.63,420.52,506.78,0,0,0,420.52,4753.11,Bank Transfer,SAR
PAY-000960,EMP-0168,2025-03,27-03-2025,11900,2975,1190,1100,3,223.13,17388.13,0,297.5,535.5,0,0,535.5,16852.63,Bank Transfer,SAR
PAY-000961,EMP-0169,2025-03,27-03-2025,3250,813,325,1050,0,0,5438,0,81.26,0,0,0,0,5438,Bank Transfer,SAR
PAY-000962,EMP-0170,2025-03,27-03-2025,7550,1888,755,0,0,0,10193,920.21,1108.96,0,0,0,920.21,9272.79,Bank Transfer,SAR
PAY-000963,EMP-0171,2025-03,27-03-2025,8550,2138,855,0,25.5,1362.66,12905.66,0,213.76,0,0,0,0,12905.66,Bank Transfer,SAR
PAY-000964,EMP-0172,2025-03,27-03-2025,7650,1913,765,0,0,0,10328,932.39,1123.65,0,0,420,1352.39,8975.61,Bank Transfer,SAR
PAY-000965,EMP-0173,2025-03,27-03-2025,8850,2213,885,0,0,0,11948,0,221.26,0,0,0,0,11948,Bank Transfer,SAR
PAY-000966,EMP-0174,2025-03,27-03-2025,6300,1575,630,0,0,0,8505,767.81,925.31,0,0,0,767.81,7737.19,Bank Transfer,SAR
PAY-000967,EMP-0175,2025-03,27-03-2025,4500,1125,450,0,20,562.5,6637.5,548.44,660.94,0,0,0,548.44,6089.06,Bank Transfer,SAR
PAY-000968,EMP-0176,2025-03,27-03-2025,6100,1525,610,0,0,0,8235,743.44,895.94,0,0,330,1073.44,7161.56,Bank Transfer,SAR
PAY-000969,EMP-0177,2025-03,27-03-2025,4400,1100,440,2250,0,0,8190,0,110,0,0,0,0,8190,Bank Transfer,SAR
PAY-000970,EMP-0178,2025-03,27-03-2025,4600,1150,460,0,0,0,6210,560.63,675.63,0,0,0,560.63,5649.37,Bank Transfer,SAR
PAY-000971,EMP-0179,2025-03,27-03-2025,4750,1188,475,0,0,0,6413,578.96,697.71,0,0,0,578.96,5834.04,Bank Transfer,SAR
PAY-000972,EMP-0180,2025-03,27-03-2025,4600,1150,460,0,22.5,646.88,6856.88,0,115,0,0,0,0,6856.88,Bank Transfer,SAR
PAY-000973,EMP-0182,2025-03,27-03-2025,7450,1863,745,0,0,0,10058,0,186.26,0,0,0,0,10058,Bank Transfer,SAR
PAY-000974,EMP-0183,2025-03,27-03-2025,4700,1175,470,0,0,0,6345,572.81,690.31,0,0,0,572.81,5772.19,Bank Transfer,SAR
PAY-000975,EMP-0184,2025-03,27-03-2025,8900,2225,890,0,0,0,12015,0,222.5,0,1700,0,1700,10315,Bank Transfer,SAR
PAY-000976,EMP-0186,2025-03,27-03-2025,3250,813,325,2300,25.5,517.97,7205.97,396.14,477.4,292.53,0,0,688.67,6517.3,Bank Transfer,SAR
PAY-000977,EMP-0187,2025-03,27-03-2025,7150,1788,715,0,0,0,9653,0,178.76,0,0,0,0,9653,Bank Transfer,SAR
PAY-000978,EMP-0188,2025-03,27-03-2025,8550,2138,855,0,13,694.69,12237.69,1042.08,1255.84,0,0,0,1042.08,11195.61,Bank Transfer,SAR
PAY-000979,EMP-0189,2025-03,27-03-2025,3450,863,345,650,24.5,528.28,5836.28,0,86.26,0,0,0,0,5836.28,Bank Transfer,SAR
PAY-000980,EMP-0190,2025-03,27-03-2025,4750,1188,475,0,0,0,6413,0,118.76,0,0,0,0,6413,Bank Transfer,SAR
PAY-000981,EMP-0191,2025-03,27-03-2025,3800,950,380,200,0,0,5330,0,95,0,0,0,0,5330,Bank Transfer,SAR
PAY-000982,EMP-0193,2025-03,27-03-2025,3650,913,365,2150,0,0,7078,0,91.26,0,900,0,900,6178,Bank Transfer,SAR
PAY-000983,EMP-0194,2025-03,27-03-2025,4750,1188,475,0,19.5,578.91,6991.91,0,118.76,0,0,0,0,6991.91,Bank Transfer,SAR
PAY-000984,EMP-0195,2025-03,27-03-2025,6150,1538,615,0,18.5,711.09,9014.09,0,153.76,0,0,0,0,9014.09,Bank Transfer,SAR
PAY-000985,EMP-0196,2025-03,27-03-2025,8550,2138,855,0,0,0,11543,0,213.76,0,0,0,0,11543,Bank Transfer,SAR
PAY-000986,EMP-0197,2025-03,27-03-2025,12000,3000,1200,2400,0,0,18600,0,300,0,0,0,0,18600,Bank Transfer,SAR
PAY-000987,EMP-0198,2025-03,27-03-2025,3400,850,340,300,0,0,4890,0,85,0,0,0,0,4890,Bank Transfer,SAR
PAY-000988,EMP-0199,2025-03,27-03-2025,7700,1925,770,0,0,0,10395,0,192.5,1732.5,0,0,1732.5,8662.5,Bank Transfer,SAR
PAY-000989,EMP-0200,2025-03,27-03-2025,11500,2875,1150,2250,19,1365.63,19140.63,0,287.5,0,0,0,0,19140.63,WPS Transfer,SAR
PAY-000990,EMP-0201,2025-03,27-03-2025,3700,925,370,0,0,0,4995,0,92.5,333,0,0,333,4662,Bank Transfer,SAR
PAY-000991,EMP-0202,2025-03,27-03-2025,8800,2200,880,1550,0,0,13430,1072.5,1292.5,0,0,0,1072.5,12357.5,Bank Transfer,SAR
PAY-000992,EMP-0203,2025-03,27-03-2025,4150,1038,415,0,17,440.94,6043.94,505.83,609.59,373.53,0,0,879.36,5164.58,Bank Transfer,SAR
PAY-000993,EMP-0204,2025-03,27-03-2025,4650,1163,465,0,0,0,6278,0,116.26,418.53,0,0,418.53,5859.47,Bank Transfer,SAR
PAY-000994,EMP-0209,2025-03,27-03-2025,3500,875,350,1000,12.5,273.44,5998.44,0,87.5,0,0,0,0,5998.44,Bank Transfer,SAR
PAY-000995,EMP-0210,2025-03,27-03-2025,6850,1713,685,0,15,642.19,9890.19,834.89,1006.15,0,0,590,1424.89,8465.3,Bank Transfer,SAR
PAY-000996,EMP-0211,2025-03,27-03-2025,4450,1113,445,750,6.5,180.78,6938.78,0,111.26,200.27,0,0,200.27,6738.51,Bank Transfer,SAR
PAY-000997,EMP-0212,2025-03,27-03-2025,8700,2175,870,600,0,0,12345,1060.31,1277.81,783,0,0,1843.31,10501.69,Bank Transfer,SAR
PAY-000998,EMP-0213,2025-03,27-03-2025,3650,913,365,0,0,0,4928,444.89,536.15,0,0,0,444.89,4483.11,Bank Transfer,SAR
PAY-000999,EMP-0214,2025-03,27-03-2025,3250,813,325,0,17,345.31,4733.31,396.14,477.4,0,0,0,396.14,4337.17,Bank Transfer,SAR
PAY-001000,EMP-0215,2025-03,27-03-2025,3300,825,330,0,23.5,484.69,4939.69,0,82.5,0,0,0,0,4939.69,Bank Transfer,SAR
PAY-001001,EMP-0216,2025-03,27-03-2025,7650,1913,765,400,0,0,10728,932.39,1123.65,688.53,0,0,1620.92,9107.08,Bank Transfer,SAR
PAY-001002,EMP-0217,2025-03,27-03-2025,3450,863,345,0,0,0,4658,0,86.26,0,0,0,0,4658,Bank Transfer,SAR
PAY-001003,EMP-0219,2025-03,27-03-2025,3500,875,350,0,0,0,4725,426.56,514.06,0,0,0,426.56,4298.44,Bank Transfer,SAR
PAY-001004,EMP-0220,2025-03,27-03-2025,3950,988,395,0,0,0,5333,481.46,580.21,0,0,0,481.46,4851.54,Bank Transfer,SAR
PAY-001005,EMP-0221,2025-03,27-03-2025,25950,6488,1200,0,0,0,33638,3162.71,3811.46,1121.27,0,0,4283.98,29354.02,Bank Transfer,SAR
PAY-001006,EMP-0222,2025-03,27-03-2025,3700,925,370,0,0,0,4995,0,92.5,0,0,0,0,4995,Bank Transfer,SAR
PAY-001007,EMP-0223,2025-03,27-03-2025,7500,1875,750,300,0,0,10425,0,187.5,675,0,0,675,9750,Bank Transfer,SAR
PAY-001008,EMP-0226,2025-03,27-03-2025,3350,838,335,1700,0,0,6223,0,83.76,452.3,0,0,452.3,5770.7,Bank Transfer,SAR
PAY-001009,EMP-0227,2025-03,27-03-2025,4650,1163,465,0,10,290.63,6568.63,566.77,683.03,837.07,0,0,1403.84,5164.79,Bank Transfer,SAR
PAY-001010,EMP-0228,2025-03,27-03-2025,4400,1100,440,900,14.5,398.75,7238.75,0,110,0,0,0,0,7238.75,Cheque,SAR
PAY-001011,EMP-0229,2025-03,27-03-2025,3550,888,355,0,0,0,4793,0,88.76,0,2000,0,2000,2793,Bank Transfer,SAR
PAY-001012,EMP-0231,2025-03,27-03-2025,4450,1113,445,0,25.5,709.22,6717.22,0,111.26,0,0,430,430,6287.22,WPS Transfer,SAR
PAY-001013,EMP-0232,2025-03,27-03-2025,4300,1075,430,0,0,0,5805,0,107.5,0,0,0,0,5805,Bank Transfer,SAR
PAY-001014,EMP-0235,2025-03,27-03-2025,4700,1175,470,1150,0,0,7495,572.81,690.31,0,0,0,572.81,6922.19,Bank Transfer,SAR
PAY-001015,EMP-0236,2025-03,27-03-2025,3250,813,325,0,0,0,4388,0,81.26,0,0,0,0,4388,Bank Transfer,SAR
PAY-001016,EMP-0237,2025-03,27-03-2025,4050,1013,405,0,0,0,5468,493.64,594.9,0,0,0,493.64,4974.36,WPS Transfer,SAR
PAY-001017,EMP-0238,2025-03,27-03-2025,8750,2188,875,0,6,328.13,12141.13,0,218.76,0,0,0,0,12141.13,Bank Transfer,SAR
PAY-001018,EMP-0239,2025-03,27-03-2025,8650,2163,865,950,0,0,12628,0,216.26,0,0,0,0,12628,Bank Transfer,SAR
PAY-001019,EMP-0240,2025-03,27-03-2025,3550,888,355,2200,0,0,6993,0,88.76,0,0,0,0,6993,Bank Transfer,SAR
PAY-001020,EMP-0241,2025-03,27-03-2025,11250,2813,1125,1750,4,281.25,17219.25,1371.14,1652.4,0,0,0,1371.14,15848.11,Bank Transfer,SAR
PAY-001021,EMP-0242,2025-03,27-03-2025,3500,875,350,1500,8,175,6400,426.56,514.06,0,0,0,426.56,5973.44,WPS Transfer,SAR
PAY-001022,EMP-0243,2025-03,27-03-2025,3350,838,335,0,0,0,4523,0,83.76,0,0,0,0,4523,Bank Transfer,SAR
PAY-001023,EMP-0244,2025-03,27-03-2025,8550,2138,855,0,0,0,11543,1042.08,1255.84,769.53,0,0,1811.61,9731.39,Bank Transfer,SAR
PAY-001024,EMP-0245,2025-03,27-03-2025,4100,1025,410,0,3,76.88,5611.88,499.69,602.19,369,0,0,868.69,4743.19,Bank Transfer,SAR
PAY-001025,EMP-0246,2025-03,27-03-2025,4600,1150,460,0,15,431.25,6641.25,560.63,675.63,0,0,0,560.63,6080.62,WPS Transfer,SAR
